"Product title","Product variant SKU","Sales channel","Net items sold","Net sales","Total sales"
"Sándalo Imperial (Inspirado en Santal 33)","PER-SANIMP-100","Online Store",39,18073.3,20965
"Espíritu de Conquistador (Inspirado en Creed Aventus)","PER-ESPCON-100","Online Store",27,10843.98,12579
"Elegancia Romana (Inspirado en Valentino Born in Roma)","PER-ELEROM-100","Online Store",20,8778.46,10183
"Abundancia Infinita (Inspirado en L'Immensite de Louis Vuitton)","PER-ABUINF-100","Online Store",17,7745.7,8985
"Sueño Lúcido (Inspirado en Imagination de Louis Vuitton)","PER-SUELUC-100","Online Store",15,5822.7,6648.9
"Instinto Salvaje (Inspirado en Dior Sauvage)","PER-INSSAL-100","Online Store",17,4595.78,5331.1
"Dinastía Divina (Inspirado en Sauvage Elixir de Dior)","PER-DINDIV-100","Online Store",9,4273.56,4851.9
"Elegancia Romana (Inspirado en Valentino Born in Roma)","PER-ELEROM-30","Online Store",17,3866.4,4485
"Armadura Dorada (Inspirado Le Beau de Jean Paul Gaultier)","PER-ARMDOR-100","Online Store",9,3098.28,3594
"Elixir de Poder (Inspirado en Baccarat Rouge 540)","PER-ELIPOD-100","Online Store",10,2581.9,2995
"Sándalo Imperial (Inspirado en Santal 33)","PER-SANIMP-30","Online Store",10,2577.6,2990
"Aura del Misterio (Inspirado en Y de YSL)","PER-AURMIS-100","Online Store",10,2065.52,2396
"Porte Exuberante (Inspirado en Le Male Elixir de Jean Paul Gaultier)","PER-POREXU-100","Online Store",7,2065.52,2396
"Pasión Oriental (Inspirado en Tobacco and Vanille de Tom Ford)","PER-PASORI-100","Online Store",6,2065.52,2396
"Esencia Divina (Inspirado en Erba Pura de Xerjoff)","PER-ESEDIV-100","Online Store",6,2065.52,2396
"Horizonte Azul (Inspirado en Bleu Chanel)","PER-HORAZU-100","Online Store",6,2065.52,2396
"Elegancia Romana (Inspirado en Valentino Born in Roma)","PER-ELEROM-100","Point of Sale",6,2065.52,2396
"Porte Exuberante (Inspirado en Le Male Elixir de Jean Paul Gaultier)","PER-POREXU-30","Online Store",7,1804.32,2093
"Aura del Misterio (Inspirado en Y de YSL)","PER-AURMIS-100","Point of Sale",5,1549.14,1797
"Emperador Oscuro (Inspirado en Ombre Nomade de Louis Vuitton)","PER-EMPOSC-100","Online Store",3,1549.14,1797
"Eco Profundo (Inspirado en Myslf de YSL)","PER-ECOPRO-100","Online Store",6,1549.14,1797
"Fuego Imparable (Inspirado en Fucking Fabulous de Tom Ford)","PER-FUEIMP-100","Online Store",4,1549.14,1797
"Sándalo Imperial (Inspirado en Santal 33)","PER-SANIMP-100","Point of Sale",5,1549.14,1797
"Abundancia Infinita (Inspirado en L'Immensite de Louis Vuitton)","PER-ABUINF-30","Online Store",7,1546.56,1794
"Protección de Envío","SHIP-PRT","Online Store",26,1322.36,1534
"Sándalo Imperial (Inspirado en Santal 33)","PER-SANIMP-30","Point of Sale",5,1288.8,1495
"Dinastía Divina (Inspirado en Sauvage Elixir de Dior)","PER-DINDIV-30","Online Store",5,1288.8,1495
"Brisa Envolvente (Inspirado en Acqua di Gio Eau de Parfum de Giorgio Armani)","PER-BRIENV-100","Online Store",4,1032.76,1198
"Esencia Divina (Inspirado en Erba Pura de Xerjoff)","PER-ESEDIV-100","Point of Sale",3,1032.76,1198
"Rey Seductor (Inspirado en Scandal Pour Homme de Jean Paul Gaultier)","PER-REYSED-100","Online Store",2,1032.76,1198
"Brisa Envolvente (Inspirado en Acqua di Gio Eau de Parfum de Giorgio Armani)","PER-BRIENV-100","Point of Sale",3,1032.76,1198
"Suerte Líquida (Inspirado en One Million Lucky)","PER-SUELIQ-100","Point of Sale",2,1032.76,1198
"Verano Infinito (Inspirado en Acqua Di Gio)","PER-VERINF-100","Online Store",5,1032.76,1198
"Magnate Sublime (Inspirado en Millésime Imperial de Creed)","PER-MAGSUB-100","Online Store",2,1032.76,1198
"Elegancia Romana (Inspirado en Valentino Born in Roma)","PER-ELEROM-100","TikTok",2,1198,1198
"Pasión Oriental (Inspirado en Tobacco and Vanille de Tom Ford)","PER-PASORI-30","Online Store",4,1031.04,1196
"Instinto Salvaje (Inspirado en Dior Sauvage)","PER-INSSAL-30","Online Store",4,1031.04,1196
"Elixir de Poder (Inspirado en Baccarat Rouge 540)","PER-ELIPOD-30","Online Store",5,1031.04,1196
"Elegancia Romana (Inspirado en Valentino Born in Roma)","PER-ELEROM-30","Point of Sale",4,1031.04,1196
"Abundancia Infinita (Inspirado en L'Immensite de Louis Vuitton)","PER-ABUINF-30","TikTok",4,1097.33,1097.33
"Sueño Lúcido (Inspirado en Imagination de Louis Vuitton)","PER-SUELUC-30","Online Store",3,773.28,897
"Glorioso Layton (Inspirado en Layton de Perfums De Marly)","PER-GLOLAY-30","Online Store",3,773.28,897
"Esencia Divina (Inspirado en Erba Pura de Xerjoff)","PER-ESEDIV-30","Online Store",6,773.28,897
"Aura del Misterio (Inspirado en Y de YSL)","PER-AURMIS-30","Online Store",4,773.28,897
"Sueño Lúcido (Inspirado en Imagination de Louis Vuitton)","PER-SUELUC-100","TikTok",2,802.66,802.66
"Porte Exuberante (Inspirado en Le Male Elixir de Jean Paul Gaultier)","PER-POREXU-30","TikTok",3,699.66,699.66
"Elegancia Negra (Inspirado en Bvlgari Man in Black)","PER-ELENEG-100","Online Store",3,516.38,599
"Esencia Rebelde (Inspirado en 212 VIP Man Black de Carolina Herrera)","PER-ESEREB-100","Point of Sale",1,516.38,599
"Suspiro Cósmico (Inspirado en Meteore Louis Vuitton)","PER-SUSCOS-100","Online Store",2,516.38,599
"Instinto Salvaje (Inspirado en Dior Sauvage)","PER-INSSAL-100","Point of Sale",1,516.38,599
"Corazón Ardiente (Inspirado en Eros Versace.)","PER-CORARD-100","Online Store",2,516.38,599
"Abundancia Infinita (Inspirado en L'Immensite de Louis Vuitton)","PER-ABUINF-100","Point of Sale",1,516.38,599
"Oro Encantado (Inspirado en Costa Azzurra de Tom Ford)","PER-OROENC-100","Online Store",1,516.38,599
"Fortaleza Seductora (Inspirado en Silver Mountain Water de Creed)","PER-FORSED-100","Online Store",1,516.38,599
"Magnate Sublime (Inspirado en Millésime Imperial de Creed)","PER-MAGSUB-100","Point of Sale",1,516.38,599
"Horizonte Azul (Inspirado en Bleu Chanel)","PER-HORAZU-100","Point of Sale",1,516.38,599
"Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier)","PER-JARCEL-100","Point of Sale",1,516.38,599
"Llama Ancestral (Inspirado en Eros Flame Versace)","PER-LLAANC-100","Online Store",3,516.38,599
"Rey Seductor (Inspirado en Scandal Pour Homme de Jean Paul Gaultier)","PER-REYSED-100","Point of Sale",1,516.38,599
"Armadura Dorada (Inspirado Le Beau de Jean Paul Gaultier)","PER-ARMDOR-100","Point of Sale",2,516.38,599
"Sueño Lúcido (Inspirado en Imagination de Louis Vuitton)","PER-SUELUC-100","Point of Sale",1,516.38,599
"Victoria Magnética (Inspirado en Invictus)","PER-VICMAG-100","Online Store",1,516.38,599
"Corazón Ardiente (Inspirado en Eros Versace.)","PER-CORARD-100","Point of Sale",1,516.38,599
"Horizonte Azul (Inspirado en Bleu Chanel)","PER-HORAZU-30","Online Store",2,515.52,598
"Abundancia Infinita (Inspirado en L'Immensite de Louis Vuitton)","PER-ABUINF-30","Point of Sale",2,515.52,598
"Espíritu de Conquistador (Inspirado en Creed Aventus)","PER-ESPCON-30","Online Store",4,515.52,598
"Brisa Envolvente (Inspirado en Acqua di Gio Eau de Parfum de Giorgio Armani)","PER-BRIENV-30","TikTok",2,499.33,499.33
"Sándalo Imperial (Inspirado en Santal 33)","PER-SANIMP-30","TikTok",2,499.33,499.33
"Elegancia Romana (Inspirado en Valentino Born in Roma)","PER-ELEROM-30","TikTok",2,499.33,499.33
"Dinastía Divina (Inspirado en Sauvage Elixir de Dior)","PER-DINDIV-100","TikTok",1,401.33,401.33
"Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier)","PER-JARCEL-100","TikTok",1,401.33,401.33
"Glorioso Layton (Inspirado en Layton de Perfums De Marly)","PER-GLOLAY-30","TikTok",2,400.66,400.66
"Eco Profundo (Inspirado en Myslf de YSL)","PER-ECOPRO-30","Online Store",1,257.76,299
"Verano Infinito (Inspirado en Acqua Di Gio)","PER-VERINF-30","Online Store",1,257.76,299
"Aura del Misterio (Inspirado en Y de YSL)","PER-AURMIS-30","Point of Sale",1,257.76,299
"Jardín Celestial (Inspirado en Le Beau de Paradise Garden de Jean Paul Gaultier)","PER-JARCEL-30","TikTok",1,299,299
"Verano Infinito (Inspirado en Acqua Di Gio)","PER-VERINF-30","Point of Sale",1,257.76,299
"Brio del Campeón (Inspirado en Allure Homme Sport Extreme)","PER-BRICAM-30","Online Store",1,257.76,299
"Glorioso Layton (Inspirado en Layton de Perfums De Marly)","PER-GLOLAY-30","Point of Sale",1,257.76,299
"Esencia Divina (Inspirado en Erba Pura de Xerjoff)","PER-ESEDIV-30","Point of Sale",1,257.76,299
